setid,"Solvent: MolaLity of 2-aminoacetic acid, mol/kg","MolaLity of 1-butyl-2,3-dimethylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mcaCd,0,0.029,318.15,100,990.62,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0373,288.15,100,999.63,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0373,293.15,100,998.74,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0373,298.15,100,997.58,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0373,303.15,100,996.18,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0373,308.15,100,994.56,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0373,313.15,100,992.74,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0373,318.15,100,990.74,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0445,288.15,100,999.73,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0445,293.15,100,998.84,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0445,298.15,100,997.67,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0445,303.15,100,996.28,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0445,308.15,100,994.66,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0445,313.15,100,992.84,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0445,318.15,100,990.83,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0512,288.15,100,999.82,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0512,293.15,100,998.93,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0512,298.15,100,997.77,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0512,303.15,100,996.37,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0512,308.15,100,994.75,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0512,313.15,100,992.93,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0512,318.15,100,990.92,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0608,288.15,100,999.95,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0608,293.15,100,999.05,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0608,298.15,100,997.89,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0608,303.15,100,996.49,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0608,308.15,100,994.87,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0608,313.15,100,993.05,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0608,318.15,100,991.04,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0719,288.15,100,1000.1,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0719,293.15,100,999.2,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0719,298.15,100,998.04,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0719,303.15,100,996.63,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0719,308.15,100,995.01,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0719,313.15,100,993.19,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0719,318.15,100,991.18,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0826,288.15,100,1000.23,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0826,293.15,100,999.33,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0826,298.15,100,998.17,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0826,303.15,100,996.77,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0826,308.15,100,995.15,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0826,313.15,100,993.33,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0826,318.15,100,991.32,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0919,288.15,100,1000.35,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0919,293.15,100,999.45,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0919,298.15,100,998.29,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0919,303.15,100,996.88,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0919,308.15,100,995.26,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0919,313.15,100,993.44,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.0919,318.15,100,991.43,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1036,288.15,100,1000.49,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1036,293.15,100,999.59,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1036,298.15,100,998.43,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1036,303.15,100,997.02,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1036,308.15,100,995.4,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1036,313.15,100,993.58,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1036,318.15,100,991.57,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1168,288.15,100,1000.65,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1168,293.15,100,999.75,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1168,298.15,100,998.58,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1168,303.15,100,997.18,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1168,308.15,100,995.55,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1168,313.15,100,993.73,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1168,318.15,100,991.72,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1298,288.15,100,1000.8,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1298,293.15,100,999.9,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1298,298.15,100,998.74,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1298,303.15,100,997.33,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1298,308.15,100,995.7,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1298,313.15,100,993.87,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0,0.1298,318.15,100,991.86,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0.05,0,288.15,100,1000.8,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0.05,0,293.15,100,999.89,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0.05,0,298.15,100,998.72,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0.05,0,303.15,100,997.31,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0.05,0,308.15,100,995.68,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0.05,0,313.15,100,993.86,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0.05,0,318.15,100,991.85,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
mcaCd,0.05,0.0154,288.15,100,1000.99,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
