setid,"Temperature, K","MolaRity of 1-dodecyl-3-methylimidazolium chloride, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SvrHM,308.2,0.0005,101,866.94,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,308.2,0.001,101,866.94,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,308.2,0.0025,101,866.94,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,308.2,0.005,101,866.94,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,308.2,0.01,101,866.94,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,313.2,1e-05,101,861.71,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,313.2,0.0001,101,861.71,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,313.2,0.00025,101,861.71,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,313.2,0.0005,101,861.71,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,313.2,0.001,101,861.71,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,313.2,0.0025,101,861.71,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,313.2,0.005,101,861.71,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,313.2,0.01,101,861.71,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,318.2,1e-05,101,856.44,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,318.2,0.0001,101,856.44,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,318.2,0.00025,101,856.44,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,318.2,0.0005,101,856.44,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,318.2,0.001,101,856.44,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,318.2,0.0025,101,856.44,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,318.2,0.005,101,856.44,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
SvrHM,318.2,0.01,101,856.44,Saien et al. (2015b),Density,Liquid mixture 2,Liquid mixture 1,,48,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
