setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Temperature, K","MolaLity of ethyl 3-oxobutanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VHEdK,0.1106,293.15,0.3,101,1001.8,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,293.15,0.4329,101,1003.2,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,293.15,0.5074,101,1004,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,293.15,0.5913,101,1004.8,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,293.15,0.721,101,1006.1,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,293.15,0.7852,101,1006.7,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,293.15,0.9267,101,1008,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,298.15,0.0761,101,998,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,298.15,0.1187,101,998.5,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,298.15,0.215,101,999.5,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,298.15,0.3,101,1000.4,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,298.15,0.4329,101,1001.7,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,298.15,0.5074,101,1002.4,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,298.15,0.5913,101,1003.2,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,298.15,0.721,101,1004.4,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,298.15,0.7852,101,1005,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,298.15,0.9267,101,1006.2,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,303.15,0.0761,101,996.6,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,303.15,0.1187,101,997,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,303.15,0.215,101,998,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,303.15,0.3,101,998.8,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,303.15,0.4329,101,1000,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,303.15,0.5074,101,1000.7,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,303.15,0.5913,101,1001.5,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,303.15,0.721,101,1002.6,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,303.15,0.7852,101,1003.1,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,303.15,0.9267,101,1004.2,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,308.15,0.0761,101,994.9,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,308.15,0.1187,101,995.3,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,308.15,0.215,101,996.2,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,308.15,0.3,101,997,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
