setid,"Temperature, K","MolaRity of 1-methyl-3-tetradecylimidazolium chloride, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pGFBE,313.2,1e-05,101,861.73,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,313.2,0.0001,101,861.73,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,313.2,0.00025,101,861.73,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,313.2,0.0005,101,861.73,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,313.2,0.001,101,861.73,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,313.2,0.0025,101,861.73,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,313.2,0.005,101,861.73,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,313.2,0.01,101,861.73,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,318.2,1e-05,101,856.46,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,318.2,0.0001,101,856.46,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,318.2,0.00025,101,856.46,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,318.2,0.0005,101,856.46,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,318.2,0.001,101,856.46,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,318.2,0.0025,101,856.46,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,318.2,0.005,101,856.46,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
pGFBE,318.2,0.01,101,856.46,Saien and Kharazi (2016),Density,Liquid mixture 2,Liquid mixture 1,,48,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,AAWRvN,CCCCOC(C)=O,butyl ethanoate
