setid,"Temperature, K","MolaLity of D-sucrose, mol/kg","Solvent: MolaLity of methyltributylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QIfSC,308.15,0.0799,0.08,101.3,1008.9,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.08,0,101.3,1004.3,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.0999,0.019,101.3,1007.7,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.0999,0.04,101.3,1008.6,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.0999,0.059,101.3,1009.7,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.0999,0.08,101.3,1011.2,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.1,0,101.3,1006.8,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.1195,0.059,101.3,1012,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.1198,0.019,101.3,1010.1,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.1198,0.04,101.3,1011,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.1198,0.08,101.3,1013.5,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.1203,0,101.3,1009,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.1395,0,101.3,1011,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.14,0.08,101.3,1015.7,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.1403,0.019,101.3,1012.4,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.1404,0.04,101.3,1013.2,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,308.15,0.1407,0.059,101.3,1014.3,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0,0,101.3,992.2,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0,0.019,101.3,993.2,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0,0.04,101.3,994.8,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0,0.059,101.3,995.1,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0,0.08,101.3,996.8,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0199,0,101.3,994.8,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0199,0.019,101.3,995.8,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0199,0.04,101.3,997.4,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0199,0.059,101.3,997.7,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0199,0.08,101.3,999.4,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0399,0,101.3,997.4,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0399,0.019,101.3,998.4,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0399,0.04,101.3,999.9,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0399,0.059,101.3,1000.2,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0399,0.08,101.3,1001.9,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0599,0,101.3,1000,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0599,0.019,101.3,1000.9,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0599,0.04,101.3,1002.4,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0599,0.059,101.3,1002.6,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0599,0.08,101.3,1004.3,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0799,0.019,101.3,1003.4,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0799,0.04,101.3,1004.8,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0799,0.059,101.3,1005.1,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0799,0.08,101.3,1006.7,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.08,0,101.3,1002.5,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0999,0.019,101.3,1005.8,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0999,0.04,101.3,1007.2,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0999,0.059,101.3,1007.4,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.0999,0.08,101.3,1009,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.1,0,101.3,1005.9,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.1195,0.059,101.3,1009.7,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.1198,0.019,101.3,1008.1,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.1198,0.04,101.3,1009.6,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.1198,0.08,101.3,1011.3,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.1203,0,101.3,1007.1,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.1395,0,101.3,1009.1,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.14,0.08,101.3,1013.5,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.1403,0.019,101.3,1010.5,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.1404,0.04,101.3,1011.7,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,313.15,0.1407,0.059,101.3,1012,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
