setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of N-methyldiethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QiPVB,313.15,0.0995,0.0895,101,1090.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.1972,0.7097,101,1076.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.1978,0.5528,101,1085.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.1979,0.3957,101,1096,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.1982,0.2378,101,1108,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.1986,0.0794,101,1120.9,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.2954,0.6203,101,1096.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.2959,0.4832,101,1105.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.2963,0.3457,101,1115.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.2968,0.2077,101,1127.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.2972,0.0694,101,1139.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.3934,0.531,101,1113.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.3939,0.4136,101,1122,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.3944,0.2958,101,1131.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.395,0.1777,101,1141.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.3955,0.0593,101,1152.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.4912,0.442,101,1129.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.4917,0.3442,101,1136.6,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.4923,0.2461,101,1144.6,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.493,0.1478,101,1153.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.4934,0.0493,101,1162.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.5887,0.3532,101,1143.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.5893,0.275,101,1149.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.5898,0.1966,101,1156.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.5903,0.118,101,1162.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.5909,0.0394,101,1170.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.6861,0.2646,101,1156.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.6866,0.2059,101,1161,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.687,0.1472,101,1165.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.6874,0.0884,101,1170.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.6877,0.0295,101,1176.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.7831,0.1762,101,1168.6,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.7836,0.1371,101,1171.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.7839,0.0979,101,1175.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.7842,0.0588,101,1178.6,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.7845,0.0196,101,1181.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.8801,0.0879,101,1179.9,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.8804,0.0684,101,1181.6,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.8805,0.0294,101,1184.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.8806,0.0098,101,1186,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.8806,0.0488,101,1183.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.0987,0.7994,101,1046.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.0989,0.623,101,1054,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.0991,0.4459,101,1063.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.0993,0.2681,101,1074,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.0995,0.0895,101,1082.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.1972,0.7097,101,1069,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.1978,0.5528,101,1077.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.1979,0.3957,101,1088.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.1982,0.2378,101,1100.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.1986,0.0794,101,1113.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.2954,0.6203,101,1088.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.2959,0.4832,101,1097.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.2963,0.3457,101,1107.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.2968,0.2077,101,1119.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.2972,0.0694,101,1132,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.3934,0.531,101,1106.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.3939,0.4136,101,1114.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.3944,0.2958,101,1123.6,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.395,0.1777,101,1133.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.3955,0.0593,101,1145,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.4912,0.442,101,1121.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.4917,0.3442,101,1129.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.4923,0.2461,101,1137.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.493,0.1478,101,1146,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.4934,0.0493,101,1155,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.5887,0.3532,101,1136.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.5893,0.275,101,1142.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.5898,0.1966,101,1148.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.5903,0.118,101,1155.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.5909,0.0394,101,1162.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.6861,0.2646,101,1149.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.6866,0.2059,101,1153.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.687,0.1472,101,1158.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.6874,0.0884,101,1163.6,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.6877,0.0295,101,1169,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.7831,0.1762,101,1161.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.7836,0.1371,101,1164.6,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.7839,0.0979,101,1167.9,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.7842,0.0588,101,1171.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.7845,0.0196,101,1174.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.8801,0.0879,101,1172.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.8804,0.0684,101,1174.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.8805,0.0294,101,1177,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.8806,0.0098,101,1178.9,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,323.15,0.8806,0.0488,101,1176.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,333.15,0.0987,0.7994,101,1038.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,333.15,0.0989,0.623,101,1046.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,333.15,0.0991,0.4459,101,1055.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,333.15,0.0993,0.2681,101,1065.9,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,333.15,0.0995,0.0895,101,1075,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,333.15,0.1972,0.7097,101,1061.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,333.15,0.1978,0.5528,101,1069.9,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,333.15,0.1979,0.3957,101,1080.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,333.15,0.1982,0.2378,101,1092.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
