setid,"Temperature, K",Mole fraction of 1-butylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Arbwm,343.15,0.7836,101,1.4333,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,343.15,0.889,101,1.4336,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,343.15,0.9535,101,1.4338,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,343.15,1,101,1.4341,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0,101,1.4298,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0.0575,101,1.4298,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0.1136,101,1.4297,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0.2311,101,1.4298,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0.3515,101,1.4299,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0.4566,101,1.43,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0.5692,101,1.4302,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0.673,101,1.4304,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0.7836,101,1.4306,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0.889,101,1.431,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,0.9535,101,1.4313,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
Arbwm,353.15,1,101,1.4315,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
